Study,Species,Population,Method,Trait,juv_trait,h2_1,c2_1,i2_1,h2_2,m2_2,c2_2,i2_2,r_2
9,Red Deer,wild,animal model,total IgA,1,,,,0.0423,0.3615,0.0769,,
9,Red Deer,wild,animal model,anti-Tc IgM,1,,,,0.0588,0.3137,0.1569,,
9,Red Deer,wild,animal model,total IgM,1,,,,0.0361,0.3144,0.1186,,
9,Red Deer,wild,animal model,anti-Tc IgG,1,,,,0.0192,0.2692,0.2885,,
9,Red Deer,wild,animal model,total IgG,1,,,,0.0000,0.0862,0.0000,,
10,Bighorn Sheep,wild,animal model,June weight age 0,1,,,,0.000017,0.197,,,
10,Bighorn Sheep,wild,animal model,June weight age 1,0,,,,0.447,0.135,,,
11,Bighorn Sheep,wild,animal model,Boldness,0,,,,0.39,0,,,
12,Campanulastrum americanum,breeding design,animal model,Seed mass,0,,,,0.064,0,0.694,,
12,Campanulastrum americanum,breeding design,animal model,Days to germination,0,,,,0.361,0.303,,,-0.793
12,Campanulastrum americanum,breeding design,animal model,Rosette size,0,,,,0.243,0.26,,,-0.79
12,Campanulastrum americanum,breeding design,animal model,Days to flower,0,,,,0.426,0.433,0.168,,-0.544
12,Campanulastrum americanum,breeding design,animal model,Biomass,0,,,,0.368,0.133,,,-0.558
13,Squirrel Monkeys,managed,animal model,female neonate mass,1,0.1901,0.3182,,0.0916,0.3441,0.0574,,-0.2503
13,Squirrel Monkeys,managed,animal model,male neonate mass,1,0.1588,0.2562,,0.1208,0.2396,0.0762,,-0.3143
14,Cuvier’s gazelle,managed,animal model,Juvenile Survival,1,0.067,0.247,,0.115,0.136,0.18,,-0.217
